,0
0,"늘 말씀드리듯이, 저는 '쉬운 단어, 단순한 브레인스토밍, 빨리 쓰기'를 강조합니다. 오늘은 IELTS writing 기출문제 중에서 채용과 관련된 주제를 골라 봤어요. 기출문제: Nowadays, some... "
1,월 말 예능 '나는 가수다'처럼 '미래 연구주제발굴'을 주제로 브레인스토밍 '나는 연구자'를 추진한다.... 과정이 반복되면서 강릉분원이 천연물 분야에서 인정받는 연구소가 될 수 있도록 초석을 깔고 싶다.... 
2,"기획ㅡ브레인스토밍,브레인라이팅,퀘스천맵 #독서ㅡ독서페이퍼,독서리스트 #스피치 단계 .누구에게 할것인가? .말하고싶은주제 .질문나열하여 줄거리정하기 .목차설계 .사례로 내용 풍성히 한 후 대본... "
3,그래서 우리는 머릿속에 떠오르는 무수한 생각들을 체계적으로 확장해 나가는 브레인스토밍을 일상과... 이 과정을 계속 반복해 최종적으로 슬라이드 쇼 시작 버튼을 눌러주면 각 주제에 대한 프레젠테이션을... 
4,분석하는 브레인스토밍 기법은 아이디어가 얼마나 견고한지 평가하는 데 유용합니다. 주제나... 최적의 상황: 개인 브레인스토밍을 진행할 때 . 브레인네팅(일명 온라인 브레인스토밍) 원격 팀이 활용하면... 
5,"주제에 맞게 유연하게 바꾸셔야 해요~ 저도 활동 개로 구성할 때도 있었습니다. 대충 큰 흐름을 이렇게 잡으시면 될 것 같아습니다. [생각 만들기 활동의 예시] 브레인스토밍, 브레인 라이팅, 이미지 활용... "
6,"회의 참가자의 이해도 앞에서 이야기 해왔던 것들을 다시 한번 반복하는것 같긴 한데, 개인적으로 참가자들의 주제에 대한 이해도가 무엇 보다도 브레인 스토밍을 성공적으로 이끄는 핵심 요소라고 생각한다.... "
7,"브레인스토밍, 어떤 사람들이 참여해야 할까? 토의 주제에 관해 친숙함을 느낄 수 있어야 보다 좋은... 때까지 브레인스토밍을 반복한다. ⑦ 자유로운 대안탐색을 위해 반드시 “룰”을 지키도록 한다.... "
8,화두는 주제일 뿐이겠지요. 브레인스토밍이 아무 아이디어나 마구 낸다고 해서 주제가 없는 건... 체력훈련과 기술훈련을 반복해서 하지요. 축구는 체력 소모가 많은 운동입니다. 이틀 간격으로 경기를 뛰는 게... 
9,브레인스토밍 장점은 주제에 제한이 없고 실행하기 쉬우며 질보다 양에 초점이 맞추어져 있습니다.... &quot;그건 좀 아닌 것 같아&quot; 브레인라이팅(--기법)은 년 독일 프랑크푸르트 바텔연구소의 과학자들이... 
10,이렇게 많은 아이디어를 내다 보면 한 번 나왔던 이야기가 다른 사람에 의해 반복될 수도 있고 다소... 사실 브레인 스토밍의 대부분은 주제와 관계없는 이야기가 많게 될 수 있다. 여러 구성원의 의견이 가미된... 
11,그리고 이같은 회의의 반복은 이들의 마음을 쉬이 회의장 저 너머로 뭉게뭉게 떠오르게 한다. 이런 비효율적인 회의를 능률적이고 창의적인 아이디어 발전소로 만들어 주는 브레인스토밍 을 사용하지만..... 
12,"시간까지 반복한다. ⑦ 카드의 평가를 하고 정리한다. 나온 아이디어는 모든 카드로 되어 있기 때문에, 정리하고 평가하여 결론을 낸다. 이렇듯 카드 BS법은, 브레인스토밍의 단점을 보완한 것이다. 또한 카드를... "
13,"모든 모둠원들이 ,을 반복 . 채워진 종이를 한 곳에 모아 어떤 내용이 있는지 살펴보기 . 브레인스토밍한 종이를 하나씩 찢거나 오리기 . 모둠원들이 주제에 맞게 분류하기 예시 . 브레인라이팅 . 주제에... "
14,단순 반복 업무는 PC에게 맡기자 - 단순 반복 업무를 SW가 자동으로 수행하게 하는 것 - 자동화를... 도출 ✨ 브레인 스토밍 원칙 - 판단은 뒤로 미루자 - 이미 나온 아이디어 이용 가능 첫 실습으로는... 
15,"브레인라이팅 레인라이팅은 각 그룹 구성원들이 문제에 관하여 자신의 아이디어와 의견을 적도록 하고... 반복됩니다. 이 기술을 통해, 모든 구성원은 선생님, 트레이너, 매니저의 작은 도움으로 브레인스토밍에... "
16,"■ 카드 브레인스토밍(Card BS) 진행 ① 주제에 대해 각자 개인적으로 발상한다(분간) 분간... 또 다시 아이디어가 없어서 발표하지 않는 사람이 두 명 이상 나오면, ④ 개인발상 반복 ⑥ 개인 발상과 차례대로... "
17,"관리비 ] 브레인 스토밍 코너에는 일상, 취미와 관련된 주제들이 많이 나오는데 이번주는... 단계 반복하기 매번 읽고 지나가니까 기억이 안나서 이번주에는 레코딩을 해봤어요. 더듬더듬... "
18,"반복해서 말해주면 됩니다. 글로 설명하자니 왠지 조금 복잡하게 들릴수도 있을 것 같아요. 작곡 클래스에서는 예시 음악들과 세부 미션들을 통해 바로 바로 주제, 소재, 메세지를 뽑아보는 브레인스토밍 시간을... "
19,여기에 있는 모든 주제를 브레인스토밍해보세요. full essay로 다 쓰실 필요도 (시간도) 없습니다. 줄... 분이 울렸을 때 바디 를 거의 완성하지 못하면 싹 지우고 계속 무한반복하는 겁니다. 그리고 분에... 
20,"브레인스토밍보다 브레인라이팅이 대세다! 우리 같이 브레인라이팅 해보실까요? 안녕하세요, 공부하는... 책상에 다 같이 둘러앉은 다음 각자 주제에 대해 생각나는 아이디어들을 글로 적은 뒤 서로 돌려가며... "
21,“빠른 실패와 반복(fail fast and iterate)”이 핵심입니다. 미국의 복스미디어(Vox Media)가 복스(Vox)라는... 이런 브레인스토밍은 단순히 기사 아이템을 발제하는 것과는 다릅니다. 문제를 테이블 위에 얹어두고... 
22,"진행자가 주제를 알린다.(책상이나 벽에 게시) . 아이디어 게시한다. (분동안, 규칙 준수) . 읽어보기... 서로 다른 생각을 혼합하여 다양한 다른 의미가 생성되는 것이 반복되다보면 브레인스토밍의 진가가... "
23,과정을 반복함으로써 의견을 수렴하여 최종안을 만드는 과정 . 장점 ) 전문가를 한자리에 모이게 할... ) 브레인스토밍 회의가 끝난 다음에 아이디어를 취합할 때 ) 공개 토의가 곤란한 주제에 대한... 
24,"회의기법 브레인라이팅 - 브레인스토밍의 단점을 보완하기 위한 기법으로, 구성원들이 조용하게... 회의기법 KJ법(Kawakita Jiro 교수 회의 기법)주제를 정하세요카드에 정보를 간략히 적으세요.정보를 적은... "
25,"토론을 하라고 해놓고 계속 조사하고, 쓰고, 정리하는 일의 반복이다. 학년 아이들에게 너무 어려운... 그림책을 다 읽고 나면 브레인 스토밍 토론을 간단하게 진행한다. 브레인 스토밍 토론은 최대한 많은... "
26,#아이엘츠라이팅 #아이엘츠라이팅샘플 #아이엘츠라이팅모델 #아이엘츠라이팅브레인스토밍... 아이엘츠라이팅주제_인구 아이엘츠 라이팅 기출문제 Most of the world’s prolems are caused y overpopulation. Do you... 
27,"회의만 반복하고 있을까를 고민하던중에, 뭔가 활로를 열어준 책이다. 브레인스토밍에서 벗어나자!... 회의 규칙 - 회의시작전에 주제에 대한 설명을 진행한다. - 공감되지 않는 아이디어라고 해도... "
28,위 라이팅 영역은 )교재에 있는 모범답안 및 템플릿 암기하기 )다양한 주제로 에세이 반복 연습하기 )논리적 구성과 풍성한 답변 연습하기 위 스피킹 영역은 )브레인스토밍 &amp; 모범답안보면서 말하기... 
29,"델파이 ,정책델파이, 브 레인스토밍, 역 사적유추, 교 차영향분석, 실 현가능성분석 ● 집단의사 결정모형 • 브레밍 스토밍(Brain storming) : 일정한 주제에 관하여 회의형식으로 구성원 간의 자유발언을... "
30,"***************************************************************** 오늘의 주제는 '브레인스토밍' , 영어로 Brainstorming !!... 일상 속에서 반복되는 패턴을 귀신같이 찾아서 단순화 시키는 능력이 있다(자기조직화 정보시스템)... "
31,"정해진 시간에 브레인 스토킹 해야 한다. 저 아이디어를 가지고 정해진 시간안에 다시 의견을 나눈다 . :: 반복하며 정해진 시간안에 긍정적인 이야기로만 , 효과적인 브래인 스토밍을 하기 위해서는 열린 공간에... "
32,깊은 주제를 포괄한다. p. 키워드가 담고 있는 스토리뿐 아니라 나의 기억창고에 잠자고 있던 정보가 연결되며 생각으로 드러나게 되어 있다. 키워드 브레인스토밍을 통해 생각을 훈련하는 이들에게... 
33,진행 -진행자 브레인스토밍을 하게될 주제와 과정 혹은 토의될 문제에 대해서 설명 진행과정에... 질문의 반복을 줄여야함) -질문은 전체 학습자를 대상으로 하되 학습자들이 대답할 수 있는 시간을 허용해야 함... 
34,◇ 독학 기간 내내 연습해야 할 것 (가장 중요) : 브레인스토밍 라이팅 주제를 확인할 수 있는 곳은... (-&gt; 사전에서 예문 보거나 유튜브에 단어 검색해서 쓰임을 정확히 알 것) - 너무 같은 단어를 반복해서... 
35,주제를 거꾸로 돌려볼 것을... 어떻게 하면 환자들에게 불평불만을 더 많이 들을까요? '거꾸로 브레인스토밍'은 토론 참여자들에게 재미있는 느낌을 주고 이 느낌이 긍정적으로 작용하여 서로 편안하게... 
36,"'부모', '냉장고'등 한 번 사용한 단어를 여러 번 반복하는 걸 피하고 싶고, 동의어는 잘... 브레인스토밍? 포인트를 잡아보세요. 이런 샘플이 맘에 드신다면 참고할 때 포인트를 잡고 보면 더... "
