,0
0,"오늘은 달마다 한번씩있는 아이디어 회의에 대해 포스팅 한번 해보려고 합니다 ! 원래는 서울에 있는... 이건 좀 어려운 질문이었습니다! 답변하진 않았지만 나중에는 내집앞의 은행, 병원, 마트, 세탁소 등등... "
1,"CV작성, 주제에 접근하는 방법, 준비를 하는데 가장 중요한 점 등 공모전 준비에 있어서 실질적이고 현실적으로 도움을 주었어요! 각자의 아이디어를 공유하다 보니 어느새 회의를 마무리해야 할 시간! 멘토를... "
2, 미니프런트 정기 회의 이번 회의는 피크닉을 갈려했지만 날씨가 흐려서 미술관에 갔다 오히려좋아 ~! 어려운 예술의 세계에 우리 뿌리기 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나의 여유로운 브이까지 봐줘 ~~ 너무 힐링한... 
3,"무한한 아이디어와 상상력을 펼칠 수 있습니다. 터치펜을 지원하므로 빠르게 메모와 정보를 교환할 수... 대면 회의가 어려운 코로나 시국에서, 그리고 다양한 공간이 있는 기업에서 활용성이 매우 높을 것으로... "
4,ㅎㅎ 첫번째 회의 저희의 첫 번째 회의는 년 월 일에 진행됐습니다! 이날 회의는 '지구를 위한... 거리면서 어려운 점이 있으면 팀원들과 상의해서 하나씩 이겨내고 있습니다 아래 링크는 저희 인스타그램... 
5,"가지 아이디어'를 주제로 관광도시 전주의 현재와 미래에 관해 열띤 토론을 벌였는데요, 전주를 위해... 원탁회의, 한 테이블마다 ,,,,대의 다양한 연령이 함께 앉았는데요. 스마트폰 사용이 어려운... "
6,"취지도 좋고 다른 팀원분들과 소통할 수 있어 너무 좋은 팀 미션이었지만 명이 아이디어 회의 시간 맞추기, 편집 담당 재구성하기 등 어려운 부분이 많았기 때문에 서포터즈 기 때는 안 했으면 하는 미션... "
7,작은 프로젝트를 기획하고 실행하며 성공적으로 마무리 할 수 있도록 아이디어 회의하고... 협업하는... 배우기 어려운 비즈니스 실무 역량에 관해서도 많은 인사이트를 얻었다. 치과라는 작은 사회에서 일반... 
8,"때보다도 어려운 일이 되었을지도 모른다. 휴먼 프런티어, 초연결시대, 거대한 아이디어의 미래... 내용은 잘 생각나지 않지만 프랑스에서 조식을 즐기고, 일본에서 비지니스 회의를 가고, 미국에서 연인과... "
9,이번에 소개하는 인강용 노트북 레노버 아이디어 패드 슬림 ADA는 만 원 초중반대에 만날 수 있는... 적응하기가 어려운 점은 없었다. 터치패드도 감도가 꽤 좋은 편이라 마우스 없이도 간단한 웹... 
