,0
0,지원이 어려움 -&gt; 시장 층에 창업공간 마련계획 다음회의에는 아직 디벨롭시키지 못한 아이디어들까지 디벨롭하여 다음 회의시간 때 보충할 점에 대해서 이야기하기로 하였습니다 또한 월 일에는... 
1,"대한 어려움이 예상됩니다. 이에 오프라인 워크숍을 진행하지 못하는 상황에 대응하기 위해 와우디랩은 긴급 아이디어 회의를 열었다고 하는데요. 온라인 워크숍을 위한 아이디어가 무려 가지가, 그것도... "
2,앱 출시 아이디어 회의 구분 조이 제인(본인) 의견 운동명상일기 어플 : 기존에 많이 있기때문에 지양해보자 기획단에서 볼륨이 커지면 개발이 어려움 개월 안에 디자인과 개발이 서로괜찮은 기획을 세우자... 
3,OKR 스크럼 리더들이 아이디어를 내는데 어려움을 겪는 이유는 STORY가 부족하기 때문입니다. 이달 말... 기록하고 회의 시작 시 시트를 뒤집어야 합니다. 일주일 동안 동료를 관찰하고 객관적일 때 관찰하는... 
4,"전체 회의실로 돌아오게 됩니다. 학기초에 담임교사가 해야 할 중요한 행사 중 하나는 바로 학급자치회장 선거죠? 온라인수업으로 어려움이 컸던 지난 해에, 학급자치회장, 부회장 선거를 치를 때는 오히려... "
5,"우리가 경험한 조직 내 소통의 어려움 . 소통을 어렵게 만드는 가지 장벽 . 비대면 회의 도구 .... 조직 내 소통이 어려운 이유는, 업무 소통이라고 하면 일반적으로 '사람(정보) - 아이디어(솔루션) - 성과... "
6,전시장내 식음시설 및 편의시설 절대부족에 대한 어려움 해결 방안 모색 : 도시락 업체 선정을 통한... 세미나 성공개최를 위한 공작기계협회 하의 지속적인 홍보활동 진행 [공구관 참가업체 아이디어회의에... 
7,작은 아이디어들이 정책에 큰 영향을 줄 수 있는데 사실 딱딱한 사무실에서 회의를 하면 이런 이야기가 안나온다. 그런데 이런 자유로운 대화를 하다보니 미처 몰랐던 맞벌이 직원들의 실질적 어려움을... 
8,비상경제민생회의는 민생 현장을 직접 찾아 국민 어려움을 듣고 고물가 대응 등 대책을 챙기겠다는 윤... 회의 생중계 아이디어는 윤석열 대통령이 제안한 것으로 알려졌다. 차 회의까지는 윤 대통령... 
9,"싶은 아이디어를 어필했는데요! 열정적으로 회의에 임하는 모습, 정말 멋있지 않나요? 만들어보고 싶은 행사의 강점에 대해 이야기하기도 하고 현실적인 어려움에 대한 이야기도 나누며 뜻깊은 시간을 보냈던... "
10,"그리고 신입기수분들은 다음 회의 전까지 아이디어, 친목 PT를 만들어서 발표를 하셔야합니다... 제작하시다가 어려움 있으시면 저한테 언제든지 문의해주세요! 마지막 푸딘쿡.. 이번 회의 때 마지막으로... "
11,올해는 코로나로 인하여 휴관인 곳이 많아 발로 뛰는 취재는 어려움이 있었어요  부득이하게 현장... 선생님의 퓰리처상 강의를 듣고 나니까 새로운 기사 아이디어가 마구마구 나오네요. 기자단 친구들이 쓴... 
12,"박 감독과 정서경 작가는 아이디어 회의를 할 때부터 탕웨이를 생각하고 시나리오를 썼다.... 탕웨이는 “촬영 내내 너무나 기뻤지만, 언어 때문에 실질적인 어려움을 겪었다”며 “특히 첫 촬영 때는 저와... "
13,단순히 조언을 받는 수준이라면 문제없지만 새롭고 혁신적인 아디디어가 필요할 때는 많은 어려움에... 그 결과 협동 아이디어 회의를 주최하고 직원들로부터 질적이고 풍부한 아이디어를 끌어내는 회의 기법인... 
14,포천시 공모전의 분야 중 저출산 개선 아이디어를 도출하는 Ideation 기 차회의에 참석했습니다. 신임식... 개선아이디어를 내기가 쉽지 않았습니다. 그러나 이러한 어려움을 퍼실리테이터가 미리 예상하여... 
15,생각하기: 아이디어를 실현하는 데 있어 발생할 수 있는 어려움들을 생각해보고 이에 대한 대응 방안... 회의실 한쪽 벽에는 어제 만든 아이디어들이 잘 분류돼 붙어 있을 것이다. 모든 참가자들은 작은... 
16,예상되는 어려움이 있습니다. 만약 어떤 기관에서는 영상제작에 대한 수요가 있어서 영상제작... 예술인복지 #프리랜서 #특수고용 #일상생활아이디어 #원탁회의 #토론 #아이디어 #정책 #퍼실리테이션
17,아이디어 회의는 월 일을 첫 시작으로 무려 번이나 더 있었습니다. 사진을.. 못 남겨 포스팅을... 수거의 어려움이 있었어요. 또한 막 버려진 부피가 큰 커피컵으로 인해 잦은 교체를 필요로 하고 있어요. 이... 
18,신청시 어려움이 있으신 분께서는 주저말고 센터로 문의 주시구요~! ()-! 어제는 주민공모사업 워크샵의 첫 신청자~ 주민협의체 운영위원이신 김광수 선생님과 지강연 선생님이 센터에 오셔서 회의... 
19,"초반엔 어려움이 많았다. 화상회의 등 온라인 협업 시스템 시장은 이미 MS, 구글, 시스코 등 거대 글로벌 기업이 점유하고 있는 레드오션이었기 때문이다. 이 때문에 벤처캐피털(VC) 등 투자자들의 관심을... "
20,아이디어 회의가 있는 날은 긴장됩니다. 이런 날은 몸도 마음도 무겁습니다. 회의 시간 내내 무표정하게... 단지 성격적 특성으로 인해 정서적인 어려움을 경험했던 것입니다. 자신을 안다는 것은 나의 욕구를... 
21,현재 코로나 사태로 사람들이 외부 활동을 자제하면서 많은 소상공인 분들이 어려움을 겪고... 마침내 저희 야구르트!팀은 몇 시간의 화상회의를 통해 아이디어를 도출해냈습니다! 짧게 중요한 키워드를... 
22,"새로운 아이디어를 제안하는 미션 이에요!!!!! 기업이 직면하고 있는 어려움을 함께 고민해보고, 홍보... 그리고 흥부자 삼모작이들은 회의만 딱 하고 헤어질 수 없었기 때문에 외대 애플 라운지에서 회의를... "
23,"개학 후 첫 시간, 아이들은 먼저 본인들이 생각했던 아이디어를 발표합니다. 그 중 가장 많은 호응을... 주제 선정에 어려움이 있어 구체화하는 것을 어려워하던 조도 선생님의 말씀에 놓쳤던 알맹이를 의견을... "
24,시행착오와 폐강의 어려움속에서도 진정으로 장애여성과 장애인이 바라고 희망하는 취업 연계 교육프로그램을 개발하기 위해서 저희 센터는 더욱 연구하고 발전시켜 나가도록 하겠습니다. 감사합니다.
25,넘치는 아이디어! 신나서 회의 마치기 싫어요~ 효율적인 회의 운영을 위해 사전에 작성한 커리큘럼을... 겪는 어려움이나 문제점을 파악해 수업에 녹여낼 수 있도록 협의하였습니다! 이번 시간을 통해 학교 교육... 
26,▼포트폴리오 보러가기 : https:www.designart.co.krnewportfolio.php 즐거운 디자인아트 아이디어 회의... 디아플의 랜선회의는 재미있으셨나요~? 요즘 밖에서 활동하기는 어려움이 있으니 이웃님들도 내부에서... 
27,Previous image Next image 그리고 대구사무실임대 계약자분들이 법 관련하여 자문을 받아 어려움을 극복해... Previous image Next image 대구사무실임대 이용하시는 분들은 회의실도 무상으로 이용해 보실 수 있는데요.... 
28,조 부원장은 “년 이후 남북관계가 어려움을 겪고 있는데 양국이 하루빨리 관계를 회복하길... 자문위원의 열띤 토론을 통해 그동안 위원들이 가지고 있던 다양한 아이디어를 알아갈 수 있는 유익한... 
29,주도적으로 일하면서 가장 어려움을 느끼는 부분이 '창의적인 아이디어 발상'이다. 특히 디자인... 남편과 나 둘 다 각자의 브랜딩에 대해 고민하며 앞으로 매주 주말마다 회의를 하며 디벨롭해 나가기로... 
30,"회의에 같이 참석했는데 사람마다 기억하는 내용이 달라요. 회의록을 작성하며 흔히 겪는 어려움입니... 회의 목적: 프로젝트 킥오프 회의, 주간 회의, 보고 회의, 아이디어 회의 등회의록 공유 대상: 개인, 팀... "
31,임차인을 기다리는 경쟁 업종선택의 어려움 공실탈출 아이디어!! 멋진 공간을 갖고 싶었던 꿈보다는.... 파티룸이기도 하지만 파티에만 사용되지 않고 기업의 회의나 공공기관의 교육장소로 교실이 되고... 
32,그래서 저희는 주제 선정에 대해 논의부터 하였어요 아무래도 대면 회의보다는 어려움이 있었는데도 불구하고 팀원들 모두 열정적으로 참여해주었습니다 ♥ 생각보다 훨씬 다양한 아이디어들이... 
33,"&quot;오늘 회의에서 도와주셔서 감사합니다.&quot;와 같은 간단한 표현만으로도 충분하다. 또한, 상사에게... 이러한 어려움을 충분히 고민하지 않았기 때문에 해당 의사의 아이디어는 곧바로 거절당했다. 반면 또 다른... "
