,0
0,"외관으로 보는데는 한계가 있어 고객의 입장에서 옷도 구매하고,꽃도 구매하며 자연스럽게 요즘 시장... 정리하고, 브레인 스토밍으로 아이디어를 제안하고, 함께 이야기 나누고 있다. 패션분야의 일을 하신분... "
1,가지의 브레인 스토밍을 했다. 목록을 만들어 내는 시간은 약 하루가 걸렸다. 그리고 다음날 개로... 모두에게 주어진 시간은 같고 열심히 일하는 데도 한계가 있다. 업무시간 동안 무엇을 하느냐가 성과를... 
2,브레인스토밍의 한계 다행히 브레인스토밍이 잘 돼서 많은 아이디어가 수집됐다 해도 문제는 이어질... 바로 '브레인라이팅(BrainWriting)'입니다. 소규모 분임토의 방식에 적합한 방식입니다. 인원이 많은 경우... 
3,미리 한계점에 다다르지 않게! 준비를 해놓는다면! 저희의 역량은 두 배에 다다를 것 같아요! 갑자기 이런 말을 하는 이유는.... 사실...... 프로겜돌이가 유니티에서 벽을 느끼고 있기 때문.. 브레인스토밍을... 
4,"브레인 스토밍은 널리 팀별로 사용되는 아이디어 창출 기법으로, 집단의 효과를 살리고 아이디어의... 자유로운 발상으로 한계를 극복해 본다. 어리 석게 보이는 아이디어도 의무적으로 제출시킨다. ) 질보다... "
5,"네 번째, 디지털 마인드맵 디지털 마인드맵은 디지털 도구(컴퓨터, 스마트폰) 가 있어야 한다는 한계가... 지금까지 기획에서 중요한 아이디어 발상 도구 브레인스토밍을 공부했습니다. 다음 시간에는 브레인라... "
6,브레인스토밍의 진행자 역할을 하는 '퍼실리테이터'의 경우에는 브레인스토밍의 장점과 한계를 분명하게 이해하고 있어야 되며 상황에 따라 잘대처할 수 있는 능력도 갖추고 있어야 되겠습니다. 이를 잘... 
7,위경환의 steps 아이디어 발상법 표지(창의적 아이디어 발상법 도서) 위경환의 steps 아이디어 발상법 표(창의적 아이디어 발상법 도서) [구매는 클릭] [DBR]브레인스토밍의 한계… 팀플레이 앞서 개인플레이를... 
8,"원칙 ) 비판금지 ) 자유분방 ) 대량발언 ) 수정발언 . 브레인 스토밍의 한계 ) 아이디어의 산출이 어려움 존재 ) 평가에 불안을 느끼는 경우 존재 ) 무임승차 구성원 존재 ) 목적, 동기 불확실시 시간 낭비"
9,브레인스토밍 어려워할 줄 알았는데 답을 맞춰야하는 압박이 없어서 그런지 무지무지 많이 써냈습니다. (스토밍이 중요하기에 디자인은 신경쓰지 말고 하라고 했습니다.) 명가고 명남기 이제 명 가고... 
